Year,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
2023,Bijan Robinson,ATL,21,RB,17,16,86,58,0.674,487,8.4,4,24,45.3,71,5.7,3.4,28.6,4
2023,Christian Kirk,JAX,27,WR,12,12,85,57,0.671,787,13.8,3,34,57.6,57,9.3,4.8,65.6,2
2023,Tony Pollard,DAL,26,RB,17,17,67,55,0.821,311,5.7,0,12,43.3,60,4.6,3.2,18.3,3
2023,Logan Thomas,WAS,32,TE,16,15,78,55,0.705,496,9,4,21,56.4,29,6.4,3.4,31,2
2023,Brandin Cooks,DAL,30,WR,16,15,81,54,0.667,657,12.2,8,38,59.3,37,8.1,3.4,41.1,1
2023,Jerry Jeudy,DEN,24,WR,16,11,87,54,0.621,758,14,2,28,46,47,8.7,3.4,47.4,1
2023,Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,0.701,528,9.8,1,25,48.1,39,6.9,3.2,31.1,0
2023,Kyle Pitts,ATL,23,TE,17,15,90,53,0.589,667,12.6,3,35,52.2,39,7.4,3.1,39.2,0
2023,Jahmyr Gibbs,DET,21,RB,15,3,71,52,0.732,316,6.1,1,20,46.5,24,4.5,3.5,21.1,2
2023,Joe Mixon,CIN,27,RB,17,17,64,52,0.813,376,7.2,3,14,54.7,45,5.9,3.1,22.1,0
2023,Tyjae Spears,TEN,22,RB,17,1,70,52,0.743,385,7.4,1,17,34.3,48,5.5,3.1,22.6,1
2023,Darren Waller,NYG,31,TE,12,11,74,52,0.703,552,10.6,1,25,56.8,29,7.5,4.3,46,0
